,Time
0,245.345
1,208.442
2,208.443
3,216.42
4,196.475
5,217.419
6,213.429
7,201.461
8,209.44
9,527.591
10,211.485
11,181.463
12,210.467
13,210.408
14,524.598
15,218.417
16,193.481
17,214.427
18,211.435
19,215.425
20,215.463
21,199.43
22,307.177
23,202.461
24,214.424
25,206.447
26,213.43
27,215.423
28,216.429
29,217.412
30,201.461
31,204.453
32,199.495
33,200.436
34,214.427
35,208.444
36,200.469
37,222.45
38,214.378
39,215.423
40,212.463
41,528.558
42,206.523
43,211.411
44,201.452
45,211.392
46,209.44
47,187.54
48,216.411
49,216.436
50,214.423
51,210.396
52,211.466
53,221.374
54,201.461
55,216.421
56,177.526
57,175.607
58,204.454
59,208.525
60,217.371
61,197.473
62,192.492
63,193.483
64,195.446
65,211.426
66,209.441
67,222.402
68,209.47
69,225.418
70,201.412
71,218.415
72,191.501
73,208.473
74,214.43
75,208.433
76,217.426
77,214.427
78,227.395
79,204.456
80,200.414
81,217.458
82,220.371
83,205.451
84,209.442
85,198.469
86,212.431
87,191.49
88,214.468
89,188.456
90,214.458
91,206.414
92,194.528
93,206.447
94,194.478
95,212.387
96,197.475
97,194.48
98,213.427
99,213.429
