Column,Latency
0,163.564
1,159.574
2,160.572
3,161.566
4,166.586
5,160.571
6,159.612
7,159.607
8,160.566
9,159.619
10,160.526
11,159.574
12,160.572
13,158.576
14,161.611
15,159.574
16,159.53
17,160.615
18,159.619
19,159.593
20,158.599
21,160.57
22,159.573
23,160.613
24,159.532
25,158.572
26,159.573
27,159.574
28,160.571
29,160.606
30,159.586
31,159.573
32,159.617
33,162.524
34,160.569
35,159.572
36,160.602
37,163.533
38,159.572
39,158.65
40,158.643
41,160.555
42,159.572
43,159.602
44,159.571
45,159.602
46,160.601
47,159.604
48,159.615
49,159.563
50,160.568
51,160.612
52,162.571
53,160.573
54,164.511
55,159.651
56,159.528
57,160.537
58,160.62
59,160.57
60,159.527
61,160.619
62,160.554
63,159.572
64,167.549
65,159.575
66,160.614
67,159.576
68,161.523
69,160.615
70,159.571
71,160.615
72,159.599
73,158.549
74,159.618
75,160.527
76,160.619
77,158.605
78,159.618
79,159.573
80,159.616
81,160.561
82,161.607
83,160.569
84,159.616
85,159.607
86,158.573
87,158.616
88,159.614
89,159.571
90,160.575
91,159.612
92,160.529
93,159.573
94,160.616
95,160.57
96,160.528
97,159.577
98,159.614
99,159.576
100,159.573
101,159.615
102,159.601
103,159.632
104,160.547
105,160.535
106,160.574
107,159.571
108,160.627
109,159.52
110,159.621
111,160.522
112,159.625
113,160.561
114,160.549
115,172.567
116,162.544
117,160.58
118,159.537
119,159.617
120,159.621
121,160.572
122,159.605
123,159.618
124,159.603
125,159.571
126,159.574
127,159.573
128,159.574
129,159.646
130,160.544
131,159.607
132,160.495
133,159.613
134,159.566
135,159.6
136,160.591
137,159.574
138,159.616
139,159.582
140,160.578
141,159.558
142,159.573
143,158.615
144,159.541
145,159.574
146,160.572
147,160.569
148,163.605
149,160.56
150,159.606
151,160.549
152,159.558
153,162.615
154,159.576
155,159.537
156,160.587
157,159.56
158,159.571
159,159.616
160,159.616
161,160.527
162,161.611
163,159.616
164,159.574
165,159.618
166,160.57
167,160.527
168,159.619
169,159.659
170,158.534
171,158.614
172,158.621
173,159.593
174,159.555
175,160.569
176,159.606
177,158.606
178,163.615
179,160.571
180,161.57
181,161.617
182,158.576
183,159.574
184,159.614
185,159.574
186,160.647
187,158.543
188,159.574
189,159.574
190,159.616
191,160.613
192,160.613
193,159.579
194,162.618
195,159.519
196,160.613
197,159.588
198,159.547
199,159.615
200,160.577
201,159.572
202,159.621
203,161.564
204,159.606
205,159.62
206,159.618
207,159.577
208,159.627
209,160.518
210,160.573
211,165.544
212,159.612
213,159.572
214,160.584
215,160.554
216,159.598
217,160.543
218,160.573
219,160.569
220,160.572
221,159.615
222,159.616
223,159.576
224,160.568
225,158.577
226,159.573
227,160.571
228,159.651
229,159.496
230,160.571
231,160.622
232,159.574
233,159.573
234,159.574
235,159.622
236,159.623
237,159.572
238,159.614
239,159.532
240,160.617
241,159.525
242,160.572
243,159.625
244,159.569
245,159.651
246,160.54
247,160.522
248,159.58
249,159.575
250,159.59
251,160.612
252,158.574
253,159.615
254,163.554
255,159.572
256,160.574
257,160.566
258,159.575
259,159.607
260,159.579
261,160.574
262,159.578
263,160.607
264,159.616
265,160.523
266,159.617
267,162.597
268,159.499
269,159.616
270,158.624
271,159.574
272,159.579
273,162.56
274,159.622
275,161.559
276,160.573
277,161.532
278,159.604
279,161.564
280,160.574
281,159.572
282,159.575
283,160.646
284,158.621
285,158.611
286,160.572
287,159.611
288,159.606
289,158.631
290,158.578
291,159.578
292,159.629
293,160.511
294,160.605
295,159.575
296,163.601
297,158.609
298,158.605
299,158.649
300,159.618
301,160.53
302,159.573
303,159.576
304,159.618
305,159.572
306,159.606
307,159.542
308,159.574
309,161.615
310,169.541
311,159.619
312,161.522
313,159.62
314,159.575
315,159.619
316,159.529
317,168.546
318,160.614
319,160.571
320,160.561
321,163.562
322,160.606
323,160.566
324,160.57
325,159.574
326,167.552
327,160.571
328,160.572
329,160.649
330,161.57
331,159.622
332,159.595
333,161.548
334,163.592
335,161.539
336,160.624
337,160.512
338,159.617
339,160.604
340,159.538
341,159.613
342,160.576
343,159.58
344,160.561
345,162.588
346,159.589
347,162.565
348,159.574
349,162.606
350,159.573
351,159.575
352,159.604
353,159.57
354,159.607
355,160.636
356,159.536
357,162.577
358,159.579
359,166.553
360,160.604
361,163.518
362,159.574
363,160.614
364,158.623
365,158.618
366,159.573
367,158.623
368,159.619
369,160.524
370,160.573
371,159.61
372,159.618
373,160.606
374,160.536
375,160.615
376,159.573
377,161.569
378,161.523
379,159.617
380,159.57
381,159.617
382,158.609
383,159.622
384,159.566
385,161.608
386,160.577
387,160.576
388,159.567
389,158.62
390,160.616
391,159.572
392,159.623
393,159.567
394,159.574
395,159.574
396,160.616
397,160.526
398,160.571
399,159.617
400,159.622
401,159.566
402,161.566
403,160.537
404,160.566
405,162.598
406,160.547
407,160.565
408,163.522
409,160.569
410,160.617
411,159.577
412,160.601
413,160.575
414,159.572
415,159.615
416,159.575
417,160.642
418,161.572
419,159.53
420,160.538
421,160.605
422,159.571
423,165.553
424,159.574
425,159.573
426,158.576
427,159.575
428,159.575
429,159.616
430,159.599
431,160.578
432,159.588
433,160.615
434,160.527
435,162.567
436,159.644
437,158.577
438,159.627
439,159.563
440,169.587
441,159.614
442,161.531
443,165.557
444,158.626
445,159.575
446,159.606
447,159.611
448,160.528
449,159.619
450,158.621
451,160.569
452,160.527
453,158.649
454,160.573
455,159.614
456,160.528
457,158.581
458,159.61
