Column,Latency
0,6.01
1,2.966
2,5.988
3,8.987
4,6.967
5,3.989
6,2.992
7,2.992
8,2.992
9,1.994
10,1.995
11,1.995
12,1.994
13,1.995
14,1.995
15,1.994
16,2.993
17,2.991
18,1.995
19,1.995
20,2.992
21,3.99
22,5.015
23,5.984
24,3.962
25,1.995
26,4.988
27,3.989
28,2.99
29,2.991
30,2.993
31,2.992
32,1.995
33,2.991
34,2.991
35,2.993
36,1.995
37,1.994
38,2.993
39,1.994
40,2.992
41,1.995
42,1.994
43,1.995
44,1.995
45,1.994
46,2.992
47,2.992
48,2.992
49,3.99
50,4.992
51,3.987
52,6.01
53,4.962
54,4.987
55,4.985
56,9.019
57,5.969
58,4.999
59,5.939
60,4.988
61,4.986
62,9.971
63,7.981
64,4.983
65,3.993
66,3.986
67,8.976
68,6.991
69,6.971
70,4.991
71,4.985
72,4.986
73,4.988
74,5.999
75,4.971
76,5.009
77,3.989
78,3.989
79,4.985
80,6.981
81,4.99
82,6.981
83,4.983
84,4.989
85,3.986
86,7.982
87,5.984
88,4.993
89,3.976
90,4.99
91,4.984
92,4.983
93,4.99
94,4.986
95,4.987
96,4.983
97,5.013
98,7.953
99,6.985
100,4.987
101,4.986
102,5.984
103,5.983
104,7.977
105,4.987
106,2.995
107,2.991
108,3.988
109,4.988
110,5.982
111,7.981
112,3.951
113,3.989
114,2.991
115,2.989
116,4.988
117,8.975
118,4.992
119,3.97
120,3.993
121,3.974
122,3.989
123,3.988
124,5.984
125,3.992
126,3.987
127,2.992
128,2.992
129,2.992
130,1.994
131,2.991
132,4.986
133,3.991
134,2.991
135,1.994
136,3.989
137,2.99
138,2.994
139,3.989
140,2.992
141,5.984
142,8.01
143,6.953
144,6.978
145,10.007
146,5.952
147,4.017
148,4.957
149,2.995
150,5.981
151,6.982
152,8.978
153,4.984
154,5.986
155,3.988
156,4.989
157,3.989
158,8.974
159,6.983
160,3.989
161,3.987
162,1.992
163,2.993
164,10.002
165,3.989
166,3.02
167,6.978
168,7.953
169,7.011
170,5.984
171,2.963
172,7.977
173,7.01
174,4.959
175,4.987
176,5.025
177,3.951
178,1.994
179,1.994
180,2.993
181,1.994
182,2.993
183,1.994
184,1.995
185,2.992
186,1.995
187,2.992
188,2.992
189,2.992
190,2.992
191,1.994
192,1.995
193,1.995
194,2.992
195,1.994
196,2.992
197,1.995
198,1.995
199,1.995
200,1.993
201,2.993
202,1.995
203,2.991
204,4.989
205,2.991
206,1.994
207,5.984
208,2.993
209,1.994
210,2.992
211,1.995
212,1.994
213,1.995
214,2.992
215,4.987
216,2.992
217,2.992
218,1.994
219,2.993
220,1.994
221,3.99
222,2.992
223,2.992
224,1.994
225,1.995
226,1.995
227,3.989
228,1.995
229,1.994
230,1.995
231,1.995
232,3.989
233,2.996
234,2.988
235,2.996
236,1.99
237,1.995
238,5.997
239,1.982
240,1.995
241,1.994
242,2.992
243,1.995
244,1.994
245,1.996
246,1.993
247,2.994
248,1.995
249,1.994
250,1.995
251,2.992
252,1.995
253,4.985
254,2.994
255,3.987
256,1.997
257,2.99
258,1.996
259,2.99
260,1.996
261,1.995
262,1.994
263,2.993
264,1.995
265,7.977
266,5.02
267,4.02
268,3.959
269,2.991
270,2.992
271,1.995
272,2.992
273,1.995
274,6.982
275,2.989
276,3.99
277,2.992
278,3.99
279,2.992
