,Time
0,3.989
1,2.992
2,2.991
3,3.99
4,2.996
5,2.991
6,2.992
7,3.987
8,3.991
9,2.993
10,3.99
11,3.989
12,3.989
13,3.988
14,3.988
15,4.067
16,2.992
17,2.914
18,3.074
19,3.987
20,1.994
21,1.999
22,2.939
23,1.048
24,1.994
25,1.995
26,1.915
27,1.074
28,1.997
29,0.997
30,1.991
31,0.998
32,1.943
33,1.049
34,1.918
35,1.022
36,1.052
37,0.919
38,0.997
39,2.071
40,1.0
41,0.919
42,1.005
43,0.989
44,0.998
45,1.994
46,1.057
47,1.011
48,1.0
49,0.997
50,0.922
51,0.997
52,1.02
53,0.975
54,0.997
55,0.998
56,0.996
57,0.998
58,2.044
59,0.996
60,1.025
61,0.922
62,1.038
63,0.956
64,0.998
65,1.002
66,0.992
67,0.997
68,0.998
69,0.998
70,0.997
71,0.996
72,0.998
73,2.041
74,1.025
75,0.999
76,1.002
77,0.918
78,0.997
79,0.997
80,0.998
81,0.997
82,0.997
83,0.998
84,0.997
85,1.994
86,0.998
87,0.997
88,0.998
89,0.997
90,0.996
91,0.998
92,0.998
93,0.997
94,0.998
95,0.997
96,1.996
97,0.996
98,2.013
99,1.978
100,0.996
101,1.024
102,2.047
103,1.995
104,1.991
105,1.997
106,4.932
107,9.953
108,3.016
109,2.047
110,0.917
111,0.997
112,2.075
113,1.916
114,0.997
115,0.997
116,2.044
117,1.028
118,2.991
119,1.94
120,0.972
121,1.013
122,1.982
123,1.992
124,0.999
125,0.995
126,0.998
127,1.995
128,1.994
129,0.999
130,1.993
131,0.998
132,0.997
133,0.998
134,0.997
135,0.998
136,0.997
137,2.037
138,3.947
139,2.073
140,1.932
141,1.061
142,1.915
143,1.076
144,0.92
145,2.069
146,1.002
147,0.918
148,0.997
149,2.074
150,2.988
151,2.917
152,0.997
153,1.994
154,0.997
155,2.075
156,0.997
157,3.938
158,2.045
159,0.919
160,0.998
161,2.07
162,0.998
163,0.921
164,0.997
165,2.071
166,0.997
167,1.994
168,2.953
169,2.034
170,1.998
171,0.919
172,2.018
173,1.049
174,1.943
175,1.971
176,2.071
177,2.995
178,2.988
179,1.995
180,0.997
181,1.919
182,0.998
183,0.997
184,1.994
185,1.025
186,0.994
187,3.989
188,3.042
189,2.966
190,0.977
191,1.968
192,2.07
193,1.925
194,3.061
195,2.992
196,0.997
197,1.92
198,2.071
199,1.942
200,1.046
201,1.997
202,1.995
203,1.998
204,2.989
205,0.997
206,1.919
207,0.998
208,1.994
209,2.022
210,1.048
211,1.97
212,1.02
213,1.959
214,0.985
215,2.048
216,1.914
217,2.01
218,1.057
219,1.996
220,0.921
221,2.021
222,3.041
223,1.92
224,2.031
225,1.036
226,0.922
227,0.997
228,2.018
229,0.997
230,1.98
231,0.99
232,1.994
233,0.997
234,2.07
235,0.922
236,3.016
237,1.0
238,1.968
239,3.068
240,1.99
241,1.976
242,2.017
243,1.995
244,0.922
245,2.069
246,0.923
247,2.079
248,1.937
249,1.968
250,3.99
251,3.067
252,2.991
253,1.92
254,2.0
255,0.992
256,2.074
257,2.988
258,1.998
259,3.985
260,2.918
261,2.991
262,1.995
263,3.038
264,2.946
265,5.062
266,0.922
267,2.071
268,1.0
269,0.919
270,2.069
271,2.917
272,4.064
273,2.928
274,1.062
275,1.994
276,0.947
277,0.999
278,2.991
279,1.072
280,1.995
281,0.922
282,2.07
