,Time
0,61.848
1,0.984
2,1.994
3,2.993
4,3.019
5,1.052
6,1.991
7,1.916
8,0.998
9,2.022
10,1.967
11,0.997
12,3.017
13,1.969
14,0.998
15,2.025
16,1.965
17,1.025
18,1.995
19,1.052
20,1.988
21,0.921
22,2.073
23,0.919
24,2.074
25,1.929
26,1.062
27,1.992
28,0.922
29,2.069
30,1.92
31,2.019
32,1.969
33,1.996
34,2.074
35,1.991
36,1.995
37,0.996
38,1.989
39,1.001
40,1.997
41,0.946
42,2.046
43,1.996
44,3.939
45,2.043
46,1.996
47,1.972
48,1.019
49,2.917
50,3.07
51,2.993
52,1.953
53,1.039
54,1.915
55,2.023
56,1.968
57,1.004
58,2.01
59,1.972
60,0.997
61,1.999
62,1.994
63,0.994
64,1.999
65,1.994
66,0.998
67,1.99
68,1.994
69,0.998
70,2.044
71,1.985
72,2.995
73,3.027
74,1.994
75,0.962
76,1.074
77,1.995
78,1.918
79,1.994
80,1.995
81,1.076
82,2.986
83,2.001
84,2.913
85,2.022
86,2.987
87,1.972
88,0.998
89,1.994
90,1.996
91,1.994
92,1.994
93,2.992
94,2.992
95,1.995
96,1.995
97,0.997
98,2.992
99,1.996
100,0.996
101,2.992
102,3.004
103,1.983
104,1.995
105,1.994
106,2.992
107,0.998
108,2.991
109,6.022
110,2.955
111,1.996
112,1.993
113,0.997
114,3.023
115,2.962
116,2.992
117,1.017
118,2.008
119,1.977
120,3.0
121,2.968
122,2.992
123,2.992
124,0.997
125,1.995
126,1.999
127,0.997
128,3.985
129,3.015
130,1.983
131,2.064
132,1.976
133,1.933
134,2.07
135,1.994
136,2.992
137,2.993
138,1.994
139,1.994
140,1.921
141,1.994
142,0.997
143,3.99
144,2.993
145,1.993
146,1.995
147,0.998
148,1.994
149,1.995
150,2.992
151,2.992
152,1.995
153,1.994
154,1.995
155,1.994
156,1.995
157,2.992
158,2.991
159,1.996
160,2.992
161,1.994
162,2.0
163,2.016
164,1.975
165,0.991
166,1.995
167,1.994
168,1.995
169,1.995
170,2.023
171,1.994
172,3.989
173,8.978
174,1.966
175,10.002
176,5.955
177,1.994
178,1.995
179,2.992
180,4.989
181,3.987
182,2.992
183,2.991
184,2.992
185,2.992
186,2.992
187,1.995
188,1.998
189,2.99
190,3.989
191,2.992
192,1.996
193,4.984
194,2.994
195,2.021
196,2.039
197,2.99
198,2.0
199,1.997
200,1.996
201,1.995
202,0.998
203,4.068
204,3.911
205,1.996
206,2.021
207,2.047
208,1.996
209,4.984
210,4.98
211,2.981
212,2.009
213,1.919
214,3.069
215,2.99
216,1.944
217,1.97
218,3.02
219,2.046
220,1.994
221,3.989
222,2.992
223,1.994
224,1.995
225,1.994
226,1.946
227,1.967
228,5.983
229,2.992
230,3.99
231,2.991
232,2.0
233,3.985
234,1.075
235,1.956
236,1.956
237,1.995
238,2.071
239,1.997
240,1.995
241,1.939
242,1.972
243,1.993
244,1.994
245,2.994
246,4.067
247,1.916
248,4.017
249,1.967
250,1.995
251,2.992
252,2.992
253,2.07
254,2.992
255,2.991
256,1.996
257,2.918
258,2.004
259,2.062
260,2.995
261,3.908
262,2.074
263,1.993
264,1.944
265,1.048
266,1.994
267,6.904
268,4.986
269,2.023
270,2.973
271,5.057
272,2.992
273,1.916
274,2.073
275,1.916
276,2.073
277,1.934
278,3.054
279,2.99
280,1.994
281,1.995
282,1.918
283,2.018
284,2.968
285,4.065
286,2.993
287,1.993
288,0.997
289,1.028
290,2.04
291,1.994
292,3.99
293,2.993
294,1.994
295,1.999
296,1.99
297,2.916
298,3.99
299,2.074
300,1.989
301,1.997
302,2.915
303,1.074
304,1.994
305,1.995
306,5.908
307,3.068
308,1.943
309,1.991
310,1.974
311,3.069
312,3.985
313,3.976
314,2.011
315,1.92
316,1.995
317,3.067
318,2.943
319,2.983
320,1.977
321,0.998
322,1.994
323,2.07
324,2.917
325,1.994
326,2.993
327,4.067
328,1.917
329,2.073
330,1.94
331,3.043
332,3.989
333,1.996
334,1.993
335,1.945
336,2.045
337,1.995
338,2.916
339,4.065
340,2.917
341,2.022
342,1.016
343,3.021
344,2.991
345,5.937
346,3.04
347,1.92
348,1.994
349,3.989
350,4.017
351,2.046
352,2.914
353,3.068
354,1.942
355,2.992
356,3.043
357,2.933
358,1.978
359,1.022
360,2.046
361,1.995
362,2.916
363,2.992
364,3.028
365,1.965
366,2.013
367,2.046
368,1.997
369,3.986
370,3.987
371,1.997
372,1.952
373,1.99
374,1.045
375,3.989
376,2.918
377,2.069
378,1.995
379,1.994
380,1.944
381,1.049
382,1.994
383,1.995
384,1.995
385,1.994
386,1.995
387,1.919
388,2.07
389,1.995
390,0.995
391,1.998
392,1.993
393,1.995
394,1.919
395,2.071
396,1.995
397,1.995
398,1.994
399,1.995
400,1.937
401,1.977
402,1.072
403,1.995
404,1.996
405,1.993
406,1.943
407,4.041
408,1.995
409,1.918
410,1.073
411,1.919
412,2.071
413,1.92
414,1.056
415,2.011
416,1.994
417,1.943
418,1.975
419,1.068
420,1.92
421,2.07
422,0.997
423,2.99
424,3.916
425,2.994
426,2.023
427,1.991
428,0.995
429,2.968
430,1.996
431,1.995
432,2.073
433,3.988
434,4.909
435,2.071
436,1.918
437,2.073
438,1.995
439,2.989
440,3.937
441,1.991
442,1.974
443,1.995
444,5.013
445,3.041
446,7.979
447,1.92
448,2.058
449,3.003
450,5.935
451,1.969
452,2.023
453,2.045
454,2.988
455,6.98
456,2.996
457,1.992
458,1.995
459,1.998
460,3.936
461,3.041
462,1.945
463,0.972
464,1.995
465,2.992
466,1.073
467,1.994
468,1.995
469,1.995
470,1.995
471,1.994
472,1.929
473,2.061
474,1.995
475,1.994
476,2.992
477,1.995
478,1.994
479,1.995
480,1.919
481,2.992
482,0.998
483,3.071
484,1.916
485,2.047
486,2.966
487,2.046
488,1.935
489,2.004
490,1.048
491,2.941
492,1.997
493,1.964
494,3.071
495,2.913
496,3.069
497,1.994
498,1.995
499,1.994
500,1.995
501,1.92
502,1.072
503,1.995
504,1.994
505,1.995
506,1.994
507,1.92
508,3.067
509,2.996
510,3.934
511,3.965
512,5.062
513,1.995
514,1.995
515,1.92
516,2.02
517,1.968
518,1.073
519,1.997
520,3.912
521,3.067
522,1.995
523,1.943
524,1.995
525,2.969
526,3.988
527,2.071
528,2.942
529,1.046
530,1.92
531,2.07
532,1.995
533,1.919
534,3.067
535,3.939
536,1.994
537,0.973
538,1.994
539,2.02
540,3.975
541,3.979
542,2.07
543,1.957
544,1.992
545,1.995
546,2.002
547,2.973
548,3.004
549,3.032
550,1.943
551,0.974
552,1.994
553,2.07
554,2.992
555,2.992
556,1.995
557,1.919
558,2.07
559,1.954
560,1.038
561,1.995
562,2.947
563,2.037
564,3.992
565,1.998
566,1.916
567,2.029
568,0.963
