,Time
0,12.965
1,9.976
2,5.984
3,7.981
4,4.986
5,3.992
6,4.066
7,3.99
8,4.907
9,3.02
10,3.042
11,2.989
12,2.995
13,2.99
14,1.995
15,1.993
16,2.993
17,2.997
18,2.986
19,2.992
20,2.917
21,3.069
22,2.992
23,1.997
24,2.989
25,2.991
26,16.908
27,8.031
28,5.903
29,5.067
30,2.992
31,3.988
32,3.999
33,2.979
34,2.993
35,3.989
36,1.996
37,2.989
38,2.994
39,1.994
40,2.992
41,2.917
42,3.068
43,2.991
44,3.989
45,2.918
46,4.987
47,4.064
48,2.916
49,6.064
50,5.904
51,6.063
52,4.983
53,3.915
54,4.068
55,7.929
56,4.035
57,1.995
58,2.992
59,4.987
60,7.904
61,5.065
62,3.938
63,7.95
64,3.068
65,4.986
66,5.908
67,2.993
68,6.06
69,4.934
70,2.968
71,4.066
72,2.989
73,3.941
74,5.037
75,4.912
76,3.07
77,6.978
78,4.987
79,2.99
80,3.992
81,3.913
82,4.986
83,4.066
84,3.988
85,4.987
86,4.987
87,3.915
88,3.07
89,4.987
90,5.906
91,4.987
92,3.065
93,3.957
94,3.947
95,5.984
96,3.067
97,3.989
98,2.941
99,2.973
100,4.06
101,6.906
102,3.073
103,3.987
104,2.988
105,5.909
106,5.985
107,4.013
108,7.955
109,4.998
110,2.979
111,4.992
112,6.978
113,4.987
114,13.989
115,2.006
116,8.019
117,4.935
118,3.989
119,6.036
120,6.978
121,4.99
122,6.977
123,2.993
124,4.986
125,2.992
126,6.929
127,3.045
128,3.914
129,4.065
130,3.916
131,2.068
132,2.915
133,3.99
134,3.068
135,3.989
136,2.996
137,4.907
138,5.062
139,3.99
140,2.991
141,3.914
142,3.991
143,5.065
144,4.907
145,3.989
146,3.069
147,6.905
148,3.998
149,3.981
150,5.984
151,8.054
152,3.993
153,5.98
154,3.938
155,4.987
156,5.988
157,5.035
158,2.99
159,2.997
160,7.926
161,3.962
162,13.99
163,2.965
164,4.068
165,3.945
166,5.03
167,1.973
168,3.01
169,2.942
170,2.968
171,4.054
172,3.003
173,3.988
174,3.988
175,3.996
176,4.98
177,4.914
178,3.988
179,5.063
180,3.914
181,4.986
182,4.065
183,5.985
184,4.989
185,5.906
186,2.992
187,4.986
188,2.992
189,5.062
190,7.904
191,6.981
192,7.979
193,6.059
194,4.937
195,7.03
196,4.937
197,5.983
198,6.957
199,4.07
200,5.979
201,7.979
202,3.989
203,6.906
204,8.027
205,6.011
206,5.981
207,3.993
208,4.986
209,3.914
210,5.063
211,3.992
212,4.936
213,4.036
214,3.99
215,4.911
216,3.99
217,3.988
218,2.994
219,3.989
220,5.016
221,7.963
222,3.057
223,3.985
224,4.912
225,4.994
226,6.045
227,5.939
228,10.971
229,5.96
230,5.985
231,3.019
232,9.974
233,5.955
234,4.987
235,6.982
236,5.017
237,6.951
238,4.986
239,3.99
240,3.018
241,4.037
242,6.907
243,1.995
244,4.062
245,7.981
246,3.99
247,4.987
248,5.983
