,Time
0,4.997
1,4.976
2,3.989
3,3.993
4,4.983
5,2.992
6,3.992
7,4.984
8,4.987
9,4.004
10,3.975
11,2.994
12,3.987
13,3.99
14,4.986
15,6.062
16,4.91
17,4.068
18,3.992
19,3.906
20,4.069
21,2.939
22,4.04
23,2.992
24,4.919
25,3.98
26,4.047
27,4.98
28,5.012
29,5.907
30,7.059
31,5.978
32,4.992
33,2.991
34,3.994
35,2.988
36,2.992
37,2.993
38,3.913
39,3.988
40,4.987
41,6.013
42,4.986
43,2.964
44,3.989
45,4.987
46,5.067
47,3.985
48,6.906
49,6.011
50,4.961
51,7.978
52,19.02
53,5.912
54,5.014
55,5.981
56,4.963
57,3.071
58,2.92
59,0.99
60,3.068
61,3.991
62,4.909
63,2.071
64,1.919
65,0.996
66,3.991
67,2.992
68,0.997
69,2.07
70,1.994
71,0.921
72,2.075
73,0.919
74,0.997
75,2.07
76,3.989
77,3.938
78,1.994
79,2.969
80,1.013
81,0.987
82,3.062
83,2.992
84,1.995
85,0.921
86,2.002
87,0.99
88,0.998
89,1.998
90,0.994
91,0.997
92,1.994
93,0.998
94,0.997
95,0.998
96,1.999
97,0.993
98,0.997
99,1.999
100,0.993
101,0.997
102,1.995
103,1.002
104,0.993
105,0.997
106,1.999
107,0.993
108,0.997
109,1.999
110,0.993
111,0.998
112,1.998
113,1.991
114,0.998
115,2.034
116,0.957
117,0.998
118,1.999
119,0.993
120,0.997
121,1.994
122,1.996
123,0.997
124,2.009
125,0.983
126,0.997
127,1.999
128,0.993
129,1.994
130,5.067
131,1.942
132,0.971
133,2.071
134,1.949
135,0.991
136,2.046
137,1.994
138,3.069
139,3.913
140,1.995
141,0.997
142,2.037
143,2.949
144,1.995
145,1.996
146,1.994
147,1.997
148,2.042
149,0.947
150,2.019
151,0.973
152,2.031
153,1.959
154,3.041
155,2.021
156,1.944
157,2.049
158,1.99
159,1.996
160,2.915
161,0.997
162,1.997
163,2.07
164,1.943
165,0.974
166,5.062
167,0.921
168,3.071
169,1.991
170,1.919
171,1.995
172,0.997
173,0.997
174,1.999
175,0.993
176,0.998
177,1.996
178,2.99
179,1.995
180,1.994
181,1.996
182,1.019
183,0.975
184,1.999
185,1.995
186,0.993
187,1.999
188,1.994
189,1.991
190,2.991
191,1.08
192,1.914
193,0.996
194,0.998
195,1.994
196,0.997
197,3.016
198,1.97
199,0.998
200,2.035
201,0.974
202,1.978
203,11.996
204,0.987
205,2.004
206,1.98
207,1.983
208,1.993
209,0.998
210,1.995
211,0.997
212,3.989
213,1.995
214,1.996
215,1.998
216,1.991
217,0.997
218,1.999
219,1.002
220,0.988
221,1.999
222,0.993
223,0.997
224,2.992
225,0.998
226,1.994
227,0.998
228,0.997
229,1.999
230,0.993
231,1.999
232,0.993
233,2.995
234,2.991
235,1.993
236,2.077
237,1.991
238,1.992
239,4.911
240,1.993
241,2.071
242,1.92
243,1.994
244,0.998
245,2.07
246,1.994
247,1.995
248,1.918
249,2.995
250,2.017
251,2.046
252,0.942
253,2.05
254,1.919
255,2.074
256,1.916
257,2.07
258,0.921
259,2.071
260,0.921
261,0.998
262,2.073
263,0.919
264,1.996
265,2.018
266,2.991
267,2.969
268,1.994
269,5.016
270,3.959
271,10.004
272,2.99
273,3.043
274,0.919
275,2.07
276,0.945
277,2.969
278,2.084
279,0.908
280,2.07
281,1.994
282,0.922
283,3.071
284,1.988
285,2.944
286,0.973
287,0.997
288,2.071
289,0.922
290,2.041
291,1.951
292,1.996
293,1.994
294,0.993
295,1.994
296,1.017
297,0.978
298,2.01
299,0.987
300,0.993
301,0.997
302,1.999
303,0.998
304,0.993
305,0.997
306,1.999
307,0.993
308,0.997
309,0.998
310,1.994
311,1.002
312,0.993
313,0.997
314,0.998
315,1.999
316,0.997
317,0.993
318,1.995
319,0.997
320,0.997
321,0.998
322,2.002
323,0.994
324,0.993
325,0.997
326,1.999
327,0.993
328,0.998
329,1.998
330,1.992
331,0.997
332,0.997
333,1.999
334,0.993
335,0.997
336,0.997
337,0.998
338,0.997
339,1.999
340,0.997
341,0.993
342,1.995
343,0.998
344,2.002
345,0.994
346,0.997
347,0.993
348,1.994
349,0.998
350,1.995
351,0.997
352,0.997
353,0.998
354,1.999
355,0.996
356,1.991
357,1.995
358,3.989
359,0.998
360,0.997
361,0.998
362,1.998
363,0.993
364,0.998
365,1.994
366,0.999
367,3.993
368,0.992
369,1.996
370,1.995
371,1.994
372,0.997
373,2.046
374,1.97
375,1.993
376,2.993
377,4.97
378,0.988
379,2.02
380,3.989
381,1.969
382,0.998
383,1.995
384,0.997
385,0.998
386,1.995
387,1.994
388,0.997
389,4.03
390,1.954
391,2.022
392,0.97
393,0.997
394,1.995
395,0.997
396,2.01
397,1.039
398,0.94
399,0.998
400,1.998
401,2.994
402,1.993
403,2.988
404,0.998
405,1.995
406,1.994
407,0.997
408,6.981
409,2.996
410,4.064
411,0.919
412,2.075
413,0.947
414,3.038
415,2.961
416,2.029
417,1.953
418,1.981
419,1.97
420,0.998
421,2.006
422,0.986
423,1.995
424,1.999
425,1.994
426,2.015
427,0.973
428,0.998
429,2.068
430,0.923
431,0.998
432,1.999
433,0.993
434,1.994
435,1.002
436,0.993
437,0.997
438,1.999
439,0.993
440,1.995
441,0.997
442,0.998
443,2.035
444,1.996
445,1.979
446,1.969
447,0.997
448,2.073
449,0.919
450,0.997
451,2.02
452,0.972
453,0.998
454,1.994
455,1.023
456,0.972
457,2.032
458,0.986
459,2.005
460,0.961
461,2.048
462,1.977
463,2.955
464,1.997
465,2.081
466,1.933
467,0.972
468,2.02
469,0.972
470,1.995
471,2.02
