Column,Latency
0,142.589
1,139.627
2,135.637
3,138.63
4,135.638
5,136.634
6,139.626
7,142.619
8,137.632
9,138.63
10,136.634
11,144.614
12,132.646
13,139.626
14,134.64
15,144.614
16,138.629
17,135.638
18,137.632
19,139.627
20,135.637
21,139.627
22,134.64
23,138.63
24,138.629
25,135.637
26,135.638
27,136.634
28,146.608
29,136.635
30,131.648
31,128.656
32,130.652
33,133.641
34,129.653
35,135.638
36,138.629
37,134.64
38,137.631
39,137.633
40,135.644
41,140.617
42,140.625
43,143.615
44,138.629
45,146.609
46,140.624
47,123.669
48,143.616
49,145.611
50,136.635
51,131.647
52,135.638
53,139.627
54,134.639
55,137.633
56,139.627
57,148.602
58,138.629
59,143.617
60,141.621
61,138.63
62,135.638
63,139.626
64,136.635
65,142.617
66,141.622
67,137.632
68,138.629
69,132.646
70,133.643
71,137.632
72,140.624
73,144.614
74,138.629
75,135.638
76,139.626
77,136.635
78,132.645
79,145.611
80,134.64
81,137.632
82,143.621
83,138.625
84,137.632
85,139.626
86,141.622
87,142.619
88,139.627
89,141.621
90,136.635
91,133.642
92,136.635
93,137.632
94,138.63
95,136.635
96,139.627
97,137.631
98,134.641
99,136.635
100,134.64
101,139.626
102,134.641
103,138.629
104,137.632
105,135.637
106,135.637
107,135.638
108,139.627
109,135.637
110,138.638
111,135.629
112,136.635
113,137.633
114,133.642
115,137.632
116,138.63
117,133.643
118,135.637
119,136.635
120,134.64
121,135.638
122,134.639
123,135.637
124,137.632
125,137.632
126,137.632
127,140.625
128,135.637
129,134.639
130,137.632
131,137.633
132,139.627
133,137.631
134,135.638
135,134.639
136,136.635
137,135.638
138,138.629
139,136.635
140,136.635
141,136.635
142,133.643
143,136.635
144,142.629
145,143.617
146,142.618
147,126.661
148,125.664
149,122.672
150,125.674
151,133.632
152,140.625
153,135.637
154,137.632
155,137.633
156,137.632
157,138.629
158,136.635
159,136.635
160,137.631
161,134.64
162,138.63
163,138.63
164,133.643
165,134.64
166,134.64
167,138.631
168,137.631
169,138.629
170,134.64
171,139.627
172,134.64
173,136.635
174,142.619
175,136.634
176,134.641
177,135.637
178,131.648
179,132.645
180,133.643
181,133.643
182,139.629
183,140.622
184,133.643
185,135.643
186,136.634
187,140.624
188,135.638
189,136.634
190,136.635
191,138.63
192,131.647
193,138.629
194,133.643
195,136.635
196,137.632
197,134.64
198,137.632
199,133.642
200,137.632
201,135.638
202,134.642
203,138.627
204,138.63
205,134.64
206,137.632
207,135.638
208,131.648
209,132.645
210,135.638
211,137.631
212,136.636
213,137.632
214,133.642
215,142.619
216,133.643
217,137.632
218,138.63
219,137.632
220,136.634
221,135.638
222,133.642
223,135.637
224,134.64
225,134.64
226,132.646
227,138.629
228,136.634
229,136.635
230,140.625
231,135.637
232,134.64
233,136.635
234,133.643
235,134.64
236,134.64
237,136.635
238,140.624
239,134.64
240,136.635
241,136.635
242,135.637
243,139.627
244,132.646
245,136.634
246,136.651
247,134.64
248,137.632
249,133.642
250,139.626
251,137.633
252,136.634
253,135.638
254,136.634
255,136.635
256,132.645
257,135.638
258,133.643
259,132.646
260,138.628
261,138.63
262,140.624
263,122.673
264,123.669
265,124.666
266,126.665
267,130.649
268,132.645
269,138.63
270,135.638
271,135.637
272,132.646
273,129.653
274,125.664
275,137.632
276,131.649
277,142.619
278,140.625
279,138.628
