epoch,accuracy,loss
0,0.701282,0.6324766460646931
1,0.85,0.45238642774076543
2,0.9098291,0.29253451054931706
3,0.9495726,0.1895649007242969
4,0.9709402,0.12124832552722377
5,0.98675215,0.07371105280661017
6,0.99444443,0.04582963023239221
7,0.99914527,0.028679289802526816
8,0.99914527,0.018605554218475637
9,0.99957263,0.012268677783700136
10,1.0,0.008780234755995946
11,1.0,0.006474865996875824
12,1.0,0.004944000102014432
13,1.0,0.003940474791213488
14,1.0,0.003212173267578085
15,1.0,0.0026385242437832377
16,1.0,0.002205767514060737
17,1.0,0.001868876512759389
18,1.0,0.0016105126804954763
19,1.0,0.0013950492317079861
20,1.0,0.0012162708200247655
21,1.0,0.0010737550514551182
22,1.0,0.0009526706569326611
23,1.0,0.0008459762591494518
24,1.0,0.0007588479202240705
25,1.0,0.0006840685148659743
26,1.0,0.000614881103571791
27,1.0,0.0005586357311142656
28,1.0,0.0005064462667776861
29,1.0,0.00046315483378771787
30,1.0,0.00042250390270521913
31,1.0,0.0003873450880940868
32,1.0,0.00035671020766449535
33,1.0,0.0003282823705345265
34,1.0,0.00030264094726652164
35,1.0,0.0002799137369092777
36,1.0,0.00025965966320095154
37,1.0,0.00024127913018316428
38,1.0,0.0002241432092164476
39,1.0,0.0002085050108542061
40,1.0,0.00019451526693132126
41,1.0,0.0001813423079309157
42,1.0,0.0001695836962869343
43,1.0,0.00015865039894044893
44,1.0,0.00014852009911157796
45,1.0,0.00013926299022705668
46,1.0,0.00013064491827713534
47,1.0,0.00012263474579882183
48,1.0,0.00011530986756462461
49,1.0,0.00010834428440465027
50,1.0,0.00010210941243433178
51,1.0,9.622710193522163e-05
52,1.0,9.065599077339901e-05
53,1.0,8.543563074368634e-05
54,1.0,8.082812649255587e-05
55,1.0,7.620375197833881e-05
56,1.0,7.209702826391868e-05
57,1.0,6.811929638815933e-05
58,1.0,6.437124922009917e-05
59,1.0,6.098021516446064e-05
60,1.0,5.780072557156842e-05
61,1.0,5.463677302125292e-05
62,1.0,5.1791087505204586e-05
63,1.0,4.913124016289098e-05
64,1.0,4.660282360201276e-05
65,1.0,4.4271882419956004e-05
66,1.0,4.1955308825758674e-05
67,1.0,3.981847867880088e-05
68,1.0,3.7797049357027584e-05
69,1.0,3.5909837351626376e-05
70,1.0,3.416767370246319e-05
71,1.0,3.245932558713367e-05
72,1.0,3.088633443401036e-05
73,1.0,2.9357661851541224e-05
74,1.0,2.7951331556432395e-05
75,1.0,2.6548440773617157e-05
76,1.0,2.529802484274021e-05
77,1.0,2.4084840007963376e-05
78,1.0,2.29400035733174e-05
79,1.0,2.1842059358565384e-05
80,1.0,2.082971620718756e-05
81,1.0,1.9845639183345196e-05
82,1.0,1.8898670369228747e-05
83,1.0,1.8043839029107604e-05
84,1.0,1.719639047410172e-05
85,1.0,1.641146790283e-05
86,1.0,1.5658081082441113e-05
87,1.0,1.4904698914078757e-05
88,1.0,1.4230898815519614e-05
89,1.0,1.3588423375289043e-05
90,1.0,1.2959653888065389e-05
91,1.0,1.2372259930399996e-05
92,1.0,1.1812175798073657e-05
93,1.0,1.1288207491637349e-05
94,1.0,1.0783797169928702e-05
95,1.0,1.0292684720865447e-05
96,1.0,9.838457723769048e-06
97,1.0,9.399030047780276e-06
98,1.0,8.976072270646304e-06
99,1.0,8.577386956858315e-06
