,Time
0,170.544
1,171.591
2,170.466
3,170.587
4,171.552
5,171.513
6,170.522
7,170.585
8,171.538
9,171.54
10,171.547
11,175.484
12,171.538
13,170.624
14,170.465
15,171.543
16,173.536
17,171.543
18,171.561
19,172.487
20,174.536
21,170.54
22,171.54
23,169.577
24,169.561
25,171.496
26,170.547
27,170.58
28,171.505
29,170.567
30,170.546
31,170.516
32,174.53
33,170.545
34,170.566
35,170.537
36,171.577
37,182.478
38,180.514
39,170.62
40,174.46
41,179.56
42,170.498
43,171.542
44,191.522
45,202.426
46,173.567
47,175.502
48,171.568
49,173.506
50,193.486
51,176.523
52,172.576
53,173.497
54,194.478
55,171.588
56,171.545
57,175.508
58,171.546
59,172.535
60,171.538
61,171.519
62,171.579
63,172.567
64,174.505
65,203.472
66,171.547
67,173.541
68,172.51
69,171.541
70,172.542
71,177.519
72,170.591
73,178.48
74,182.508
75,173.577
76,171.543
77,171.542
78,173.515
79,177.511
80,180.584
81,169.501
82,174.572
83,183.51
84,190.451
85,171.586
86,171.542
87,172.518
88,174.506
89,178.561
90,172.538
91,171.504
92,172.576
93,176.533
94,178.493
95,171.567
96,179.513
97,174.52
98,170.551
99,171.51
