,Time
0,156.597
1,199.417
2,200.465
3,199.464
4,196.521
5,199.421
6,195.518
7,200.426
8,195.552
9,197.436
10,198.452
11,197.457
12,199.456
13,199.481
14,196.513
15,196.421
16,201.505
17,197.426
18,196.551
19,195.398
20,204.494
21,200.429
22,207.439
23,199.519
24,196.464
25,195.438
26,196.509
27,225.358
28,207.447
29,199.465
30,214.466
31,197.476
32,199.423
33,195.512
34,199.434
35,197.487
36,211.416
37,198.498
38,213.399
39,196.511
40,196.477
41,195.44
42,195.475
43,198.517
44,212.423
45,244.339
46,214.446
47,208.387
48,198.47
49,197.5
50,200.469
51,198.48
52,243.303
53,196.513
54,196.436
55,200.494
56,233.385
57,258.299
58,204.461
59,198.455
60,196.459
61,206.442
62,206.445
63,264.291
64,210.49
65,195.464
66,196.433
67,196.516
68,216.418
69,199.462
70,196.444
71,206.445
72,196.52
73,196.476
74,202.44
75,197.485
76,196.468
77,200.453
78,199.465
79,195.45
80,197.522
81,199.42
82,200.493
83,199.476
84,200.459
85,198.473
86,205.439
87,199.437
88,195.477
89,196.471
90,195.517
91,200.468
92,198.471
93,199.437
94,196.511
95,194.481
96,197.47
97,199.456
98,196.48
99,199.434
