,Time
0,3.042
1,43.834
2,44.954
3,46.799
4,43.884
5,43.926
6,46.893
7,48.869
8,43.865
9,44.835
10,41.934
11,44.846
12,44.903
13,43.898
14,43.865
15,44.893
16,42.888
17,43.857
18,44.865
19,43.905
20,46.9
21,47.868
22,44.88
23,43.88
24,43.871
25,44.887
26,47.876
27,47.827
28,43.912
29,43.89
30,43.842
31,47.9
32,49.841
33,49.862
34,47.902
35,42.888
36,44.957
37,43.878
38,42.884
39,44.855
40,43.861
41,48.853
42,47.906
43,43.882
44,47.882
45,47.818
46,51.864
47,51.884
48,43.856
49,43.891
50,49.917
51,46.82
52,44.911
53,44.847
54,44.878
55,45.878
56,49.867
57,49.869
58,44.877
59,50.863
60,43.928
61,45.863
62,46.845
63,50.91
64,42.837
65,49.946
66,48.848
67,45.819
68,45.916
69,46.838
70,43.881
71,45.921
72,50.821
73,51.897
74,42.851
75,44.878
76,43.882
77,47.873
78,45.877
79,50.911
80,51.813
81,47.871
82,41.889
83,45.905
84,41.863
85,45.909
86,44.844
87,46.877
88,43.883
89,43.937
90,47.832
91,44.867
92,47.899
93,48.843
94,46.916
95,43.838
96,45.902
97,49.839
98,50.944
99,45.851
