,Time
0,5.013
1,3.992
2,3.987
3,2.993
4,2.994
5,3.987
6,2.991
7,3.962
8,3.989
9,3.02
10,3.962
11,2.992
12,4.024
13,2.99
14,3.959
15,4.997
16,2.999
17,3.994
18,2.987
19,3.99
20,3.971
21,3.01
22,3.988
23,2.973
24,4.987
25,2.992
26,3.99
27,2.992
28,4.99
29,2.993
30,3.989
31,2.992
32,3.989
33,1.994
34,2.989
35,1.998
36,1.994
37,0.998
38,2.993
39,1.995
40,1.989
41,0.999
42,2.991
43,0.998
44,1.993
45,0.999
46,0.997
47,1.995
48,1.001
49,0.997
50,1.995
51,0.997
52,1.992
53,0.996
54,1.996
55,1.0
56,0.993
57,1.998
58,0.998
59,1.991
60,0.997
61,1.003
62,1.996
63,0.991
64,1.995
65,0.996
66,4.989
67,2.065
68,1.005
69,1.915
70,2.064
71,1.007
72,2.914
73,1.994
74,0.997
75,2.071
76,0.997
77,1.919
78,0.997
79,2.018
80,0.974
81,2.019
82,1.041
83,1.931
84,1.994
85,0.998
86,1.991
87,1.994
88,2.995
89,1.995
90,1.995
91,0.997
92,1.992
93,1.996
94,1.993
95,1.002
96,0.992
97,1.995
98,1.001
99,1.991
