,Time
0,1.995
1,40.891
2,44.896
3,43.884
4,43.867
5,43.881
6,47.871
7,44.954
8,42.835
9,44.86
10,47.872
11,43.88
12,48.869
13,42.918
14,44.851
15,43.881
16,44.885
17,42.89
18,47.863
19,43.884
20,44.874
21,46.924
22,43.872
23,43.846
24,43.897
25,43.866
26,44.88
27,47.871
28,47.872
29,43.911
30,43.856
31,45.876
32,45.906
33,43.928
34,43.839
35,43.91
36,44.899
37,48.87
38,41.892
39,43.878
40,44.831
41,42.886
42,45.877
43,42.885
44,43.881
45,43.884
46,43.882
47,45.879
48,41.886
49,43.882
50,43.883
51,44.895
52,43.868
53,43.91
54,43.886
55,48.838
56,42.886
57,45.877
58,43.883
59,42.884
60,43.882
61,43.963
62,47.837
63,43.87
64,43.89
65,45.84
66,56.848
67,49.864
68,43.882
69,43.883
70,42.888
71,44.878
72,46.873
73,44.913
74,43.85
75,44.907
76,43.883
77,43.854
78,44.96
79,42.808
80,42.932
81,43.88
82,43.908
83,43.855
84,43.884
85,44.879
86,44.882
87,43.926
88,42.841
89,43.931
90,45.873
91,43.837
92,42.937
93,45.825
94,40.891
95,48.877
96,43.875
97,44.88
98,43.917
99,42.853
