,Time
0,5.008
1,46.901
2,46.881
3,46.831
4,46.836
5,47.918
6,52.814
7,46.874
8,48.869
9,47.873
10,50.891
11,48.843
12,46.876
13,48.866
14,49.871
15,46.873
16,49.901
17,49.83
18,46.895
19,48.848
20,50.901
21,56.811
22,49.895
23,44.916
24,43.817
25,44.909
26,49.842
27,48.869
28,45.877
29,47.869
30,48.868
31,47.873
32,49.865
33,44.88
34,51.895
35,51.858
36,52.875
37,52.811
38,46.898
39,48.849
40,49.866
41,49.894
42,47.845
43,47.872
44,47.87
45,52.906
46,46.827
47,47.899
48,47.846
49,53.882
50,49.841
51,48.914
52,47.873
53,47.824
54,49.911
55,46.83
56,47.872
57,47.872
58,46.876
59,53.902
60,47.856
61,45.897
62,47.842
63,45.856
64,50.866
65,49.869
66,47.872
67,46.87
68,48.913
69,52.84
70,49.887
71,47.85
72,47.85
73,52.887
74,52.877
75,48.867
76,45.841
77,47.908
78,47.849
79,59.864
80,48.853
81,48.839
82,45.876
83,48.9
84,47.845
85,53.853
86,46.917
87,50.819
88,64.865
89,47.866
90,48.838
91,47.92
92,49.912
93,49.822
94,53.88
95,53.88
96,47.872
97,48.858
98,49.874
99,46.862
