,Time
0,2.073
1,45.802
2,43.88
3,43.92
4,43.888
5,44.859
6,43.903
7,42.843
8,54.853
9,49.867
10,43.91
11,43.892
12,43.883
13,43.884
14,44.842
15,47.935
16,46.81
17,44.884
18,43.882
19,43.92
20,46.873
21,45.839
22,43.886
23,43.917
24,43.845
25,43.92
26,45.841
27,42.886
28,47.869
29,42.919
30,44.847
31,42.882
32,44.881
33,47.872
34,43.885
35,43.954
36,47.798
37,43.964
38,42.843
39,44.843
40,44.879
41,42.886
42,47.834
43,47.902
44,43.892
45,43.843
46,43.884
47,48.917
48,48.822
49,43.913
50,46.874
51,44.846
52,42.886
53,43.883
54,43.883
55,43.882
56,43.883
57,45.919
58,46.834
59,43.881
60,48.868
61,46.902
62,44.863
63,42.878
64,43.885
65,44.877
66,42.882
67,44.918
68,44.844
69,42.912
70,43.855
71,43.955
72,43.809
73,44.925
74,43.839
75,43.882
76,42.886
77,45.878
78,42.921
79,43.844
80,43.885
81,43.881
82,45.88
83,41.887
84,44.88
85,43.92
86,43.873
87,45.893
88,42.84
89,42.887
90,43.881
91,46.874
92,45.923
93,43.871
94,43.889
95,43.883
96,47.832
97,44.881
98,43.882
99,42.886
