,Time
0,2.01
1,42.846
2,43.958
3,44.882
4,42.81
5,43.916
6,43.847
7,46.874
8,44.904
9,44.858
10,43.882
11,44.881
12,46.901
13,43.901
14,44.838
15,45.874
16,45.909
17,44.884
18,42.885
19,43.847
20,43.926
21,44.881
22,42.868
23,44.852
24,42.885
25,44.878
26,43.885
27,44.88
28,42.93
29,43.864
30,43.854
31,43.887
32,44.876
33,43.928
34,43.884
35,45.872
36,45.837
37,42.928
38,43.838
39,43.88
40,42.884
41,45.922
42,46.829
43,43.886
44,43.886
45,42.879
46,43.848
47,43.88
48,50.867
49,44.887
50,43.882
51,46.915
52,45.872
53,42.897
54,47.871
55,43.837
56,44.926
57,43.878
58,43.843
59,44.881
60,46.875
61,45.876
62,41.929
63,43.838
64,43.934
65,43.83
66,44.882
67,43.919
68,44.845
69,42.925
70,44.847
71,42.876
72,45.908
73,49.838
74,46.912
75,45.838
76,43.926
77,43.906
78,43.852
79,43.885
80,44.843
81,45.907
82,50.867
83,46.841
84,43.883
85,43.88
86,45.929
87,43.831
88,45.93
89,43.834
90,44.876
91,43.883
92,44.925
93,45.83
94,44.928
95,43.836
96,46.923
97,43.882
98,43.883
99,44.88
