,Time
0,4.067
1,3.99
2,3.989
3,2.913
4,4.018
5,2.992
6,3.961
7,3.99
8,3.074
9,3.989
10,2.986
11,3.99
12,3.989
13,2.992
14,4.935
15,3.989
16,3.965
17,3.066
18,3.987
19,2.995
20,4.987
21,1.995
22,2.991
23,1.995
24,1.968
25,2.021
26,0.947
27,1.971
28,1.999
29,1.995
30,0.996
31,1.995
32,0.998
33,1.99
34,1.002
35,1.992
36,1.0
37,1.994
38,1.994
39,1.995
40,1.01
41,1.983
42,1.994
43,0.998
44,1.994
45,1.996
46,1.001
47,1.988
48,1.993
49,0.998
50,1.994
51,1.997
52,1.037
53,3.971
54,3.968
55,4.023
56,1.959
57,2.029
58,1.993
59,1.997
60,1.029
61,1.995
62,3.954
63,1.998
64,1.995
65,0.996
66,1.994
67,1.995
68,0.996
69,2.037
70,1.997
71,3.987
72,1.994
73,1.988
74,0.965
75,2.015
76,1.973
77,2.024
78,0.968
79,2.994
80,3.003
81,3.008
82,2.962
83,3.016
84,2.971
85,2.989
86,1.996
87,2.995
88,3.987
89,2.04
90,1.949
91,1.995
92,4.99
93,1.991
94,1.995
95,2.99
96,1.995
97,3.99
98,3.991
99,2.991
