,Time
0,3.038
1,42.915
2,43.803
3,43.884
4,43.918
5,44.849
6,43.883
7,43.908
8,43.916
9,43.846
10,43.9
11,48.869
12,43.839
13,42.924
14,42.9
15,44.847
16,43.878
17,44.881
18,42.888
19,43.88
20,44.903
21,42.903
22,44.84
23,47.89
24,43.862
25,43.946
26,44.816
27,45.941
28,46.811
29,45.878
30,43.941
31,44.822
32,43.882
33,45.919
34,46.864
35,42.853
36,45.881
37,48.865
38,46.874
39,45.953
40,48.794
41,44.88
42,44.879
43,45.894
44,44.863
45,43.883
46,49.946
47,48.791
48,47.899
49,44.851
50,43.916
51,47.84
52,44.881
53,42.883
54,43.958
55,44.81
56,43.882
57,45.875
58,55.852
59,45.912
60,44.882
61,43.844
62,43.912
63,51.874
64,43.838
65,43.934
66,43.873
67,51.819
68,46.95
69,45.882
70,42.805
71,44.881
72,50.941
73,45.827
74,42.936
75,43.856
76,43.872
77,43.874
78,44.891
79,42.89
80,43.881
81,45.876
82,45.915
83,43.845
84,43.93
85,43.84
86,43.88
87,51.86
88,45.919
89,44.838
90,47.91
91,49.828
92,43.915
93,46.881
94,48.866
95,47.865
96,44.897
97,43.906
98,41.865
99,43.883
