,Time
0,211.441
1,224.364
2,251.406
3,235.334
4,211.395
5,209.439
6,218.454
7,199.428
8,198.515
9,237.397
10,224.365
11,207.447
12,198.497
13,222.381
14,247.373
15,196.475
16,212.393
17,219.45
18,268.279
19,216.383
20,201.508
21,199.425
22,195.506
23,216.389
24,213.428
25,238.375
26,255.343
27,251.333
28,225.412
29,243.334
30,252.31
31,223.369
32,208.445
33,201.458
34,194.556
35,218.342
36,230.382
37,202.496
38,215.39
39,195.504
40,214.393
41,239.405
42,217.376
43,207.443
44,198.473
45,239.395
46,253.323
47,199.506
48,224.359
49,267.294
