,Time
0,163.562
1,160.574
2,170.545
3,175.563
4,176.539
5,170.539
6,164.592
7,171.522
8,182.495
9,189.453
10,169.545
11,182.512
12,167.555
13,168.545
14,182.514
15,189.532
16,188.499
17,176.552
18,196.405
19,184.537
20,205.424
21,195.516
22,184.54
23,181.475
24,166.555
25,168.512
26,171.538
27,190.54
28,180.505
29,174.536
30,184.466
31,183.51
32,176.529
33,204.45
34,209.442
35,217.456
36,229.351
37,182.511
38,169.593
39,179.509
40,201.482
41,194.466
42,181.509
43,179.536
44,184.495
45,209.396
46,225.393
47,218.463
48,200.455
49,213.389
