,Time
0,240.412
1,206.446
2,181.506
3,198.425
4,195.521
5,200.462
6,189.526
7,182.521
8,177.525
9,186.536
10,186.501
11,207.412
12,194.522
13,187.498
14,202.479
15,201.399
16,183.511
17,192.483
18,182.512
19,192.485
20,187.501
21,205.45
22,202.46
23,204.49
24,173.502
25,182.555
26,209.425
27,192.456
28,177.525
29,179.521
30,189.493
31,199.465
32,187.538
33,174.492
34,189.495
35,203.456
36,196.474
37,191.523
38,206.415
39,188.527
40,192.493
41,198.463
42,201.461
43,188.464
44,194.527
45,189.488
46,195.501
47,187.433
48,298.201
49,219.415
50,221.452
51,210.431
52,195.491
53,211.423
54,221.367
55,216.501
56,214.428
57,196.519
58,211.434
59,190.448
60,218.46
61,185.506
62,215.425
63,862.647
64,212.445
65,207.437
66,215.42
67,216.456
68,224.366
69,193.512
70,194.449
71,198.514
72,210.433
73,210.399
74,213.474
75,207.401
76,212.432
77,220.408
78,216.468
79,206.402
80,202.503
81,203.411
82,218.463
83,206.402
84,194.524
85,219.414
86,215.421
87,210.423
88,193.495
89,194.489
90,210.391
91,210.463
92,215.43
93,197.437
94,207.445
95,231.383
96,204.462
97,184.499
98,191.527
99,184.469
