,Time
0,6.98
1,6.981
2,9.974
3,5.984
4,6.981
5,4.989
6,3.987
7,3.993
8,2.992
9,2.991
10,2.99
11,1.997
12,3.017
13,2.044
14,1.999
15,2.911
16,1.994
17,1.996
18,2.072
19,1.917
20,3.07
21,1.999
22,1.991
23,2.921
24,2.014
25,1.967
26,1.995
27,3.011
28,1.975
29,1.995
30,2.023
31,2.963
32,2.005
33,2.065
34,1.994
35,1.996
36,2.939
37,2.047
38,1.915
39,2.018
40,1.999
41,1.995
42,1.994
43,2.992
44,1.967
45,1.995
46,1.995
47,1.994
48,2.992
49,1.076
50,2.913
51,2.073
52,1.994
53,1.996
54,1.993
55,1.995
56,1.995
57,1.994
58,1.997
59,1.994
60,2.941
61,1.987
62,1.999
63,1.97
64,2.027
65,3.043
66,2.991
67,4.985
68,2.993
69,1.99
70,2.995
71,3.989
72,3.993
73,1.991
74,2.914
75,3.073
76,2.991
77,1.99
78,2.994
79,2.944
80,2.962
81,4.068
82,2.913
83,3.069
84,1.997
85,2.991
86,1.916
87,4.988
88,5.061
89,3.925
90,3.979
91,5.065
92,5.929
93,3.047
94,2.914
95,3.021
96,5.035
97,3.99
98,2.913
99,3.017
100,2.048
101,4.987
102,3.99
103,2.913
104,2.994
105,5.012
106,5.038
107,2.992
108,1.995
109,2.992
110,3.989
111,4.99
112,1.991
113,2.913
114,4.068
115,4.993
116,2.986
117,1.916
118,3.067
119,1.998
120,3.986
121,5.909
122,2.07
123,2.916
124,2.071
125,5.988
126,1.991
127,2.991
128,2.992
129,2.993
130,2.991
131,3.99
132,1.997
133,2.914
134,1.995
135,3.07
136,2.989
137,2.957
138,1.955
139,3.067
140,2.93
141,2.056
142,2.992
143,3.938
144,7.032
145,3.915
146,4.017
147,3.043
148,2.914
149,2.073
150,2.074
151,3.993
152,5.929
153,2.046
154,2.991
155,1.941
156,5.05
157,3.99
158,2.931
159,3.052
160,2.996
161,6.978
162,3.914
163,2.067
164,4.915
165,5.064
166,2.993
167,2.913
168,2.073
169,4.907
170,4.069
171,2.995
172,1.989
173,6.907
174,2.99
175,3.071
176,2.992
177,2.913
178,4.065
179,5.984
180,2.917
181,2.07
182,2.916
183,5.063
184,2.991
185,1.995
186,2.992
187,2.916
188,3.076
189,1.987
190,2.992
191,1.994
192,2.993
193,2.991
194,2.917
195,2.992
196,2.07
197,2.917
198,1.994
199,2.992
200,1.996
201,3.989
202,3.989
203,2.996
204,2.992
205,1.994
206,2.993
207,2.999
208,2.981
209,3.074
210,3.907
211,2.07
212,3.989
213,4.987
214,3.989
215,2.992
216,3.938
217,2.972
218,4.983
219,4.013
220,3.005
221,5.026
222,2.992
223,2.917
224,3.015
225,3.966
226,3.988
227,3.015
228,1.972
229,3.071
230,4.986
231,3.99
232,2.993
233,2.991
234,1.998
235,3.982
236,3.016
237,1.971
238,3.068
239,2.991
240,2.995
241,3.987
242,3.989
243,3.914
244,3.0
245,2.062
246,5.921
247,3.059
248,2.988
249,2.994
250,5.981
251,2.992
252,2.918
253,3.053
254,2.009
255,2.917
256,4.07
257,2.911
258,2.073
259,2.914
260,2.071
261,2.994
262,2.921
263,2.066
264,1.994
265,2.914
266,4.067
267,1.999
268,1.991
269,2.913
270,3.989
271,4.987
272,2.992
273,3.059
274,2.003
275,2.997
276,1.943
277,2.963
278,3.072
279,4.935
280,2.992
281,3.961
282,5.066
283,3.989
284,2.992
285,1.944
286,4.04
287,4.932
288,4.04
289,2.917
290,3.99
291,4.065
292,4.99
293,2.988
294,1.946
295,3.044
296,1.916
297,6.06
298,2.994
299,2.938
300,1.971
301,6.007
302,4.041
303,2.991
304,1.996
305,2.992
306,2.919
307,4.062
308,2.992
309,2.992
310,2.916
311,3.017
312,5.038
313,1.998
314,2.989
315,2.916
