,Time
0,5.987
1,2.988
2,2.992
3,4.987
4,2.992
5,3.989
6,2.994
7,2.993
8,2.991
9,3.99
10,1.995
11,1.992
12,1.997
13,0.998
14,1.995
15,1.994
16,1.992
17,0.998
18,1.994
19,0.997
20,1.001
21,0.994
22,1.995
23,1.025
24,1.047
25,0.92
26,0.998
27,1.994
28,1.076
29,0.995
30,0.921
31,0.998
32,0.0
33,0.998
34,2.003
35,0.989
36,1.022
37,1.03
38,1.016
39,0.997
40,0.922
41,0.997
42,0.997
43,0.998
44,0.997
45,0.997
46,0.998
47,0.997
48,0.997
49,0.998
50,0.997
51,0.997
52,1.995
53,1.002
54,0.992
55,0.997
56,1.048
57,0.999
58,0.951
59,1.033
60,0.962
61,0.992
62,0.997
63,0.998
64,0.997
65,0.997
66,0.998
67,0.997
68,0.997
69,0.998
70,0.997
71,0.997
72,0.998
73,0.997
74,0.997
75,0.997
76,2.0
77,0.993
78,0.997
79,1.002
80,0.997
81,0.993
82,1.003
83,0.991
84,1.003
85,0.997
86,0.997
87,0.993
88,0.998
89,1.001
90,0.997
91,0.993
92,1.002
93,0.993
94,0.998
95,0.997
96,1.002
97,0.997
98,0.992
99,0.998
100,0.998
101,0.998
102,0.996
103,0.997
104,0.998
105,0.997
106,0.997
107,0.998
108,1.999
109,0.993
110,1.009
111,0.986
112,0.997
113,0.997
114,0.997
115,0.998
116,0.997
117,0.997
118,0.998
119,0.997
120,1.995
121,1.001
122,0.998
123,0.997
124,0.997
125,0.993
126,1.995
127,1.002
128,0.997
129,0.997
130,0.993
131,0.0
132,0.997
133,2.0
134,0.997
135,1.995
136,0.997
137,2.988
138,1.025
139,0.97
140,0.997
141,0.997
142,0.0
143,0.997
144,0.998
145,2.035
146,0.996
147,1.968
148,0.985
149,3.041
150,0.997
151,0.95
152,1.994
153,0.997
154,0.997
155,1.022
156,0.973
157,0.997
158,0.998
159,0.997
160,2.996
161,0.998
162,1.989
163,1.996
164,1.995
165,1.001
166,1.0
167,0.99
168,0.998
169,0.997
170,0.997
171,1.995
172,2.993
173,0.997
174,2.992
175,1.025
176,0.969
177,2.022
178,1.97
179,0.997
180,2.021
181,0.999
182,0.994
183,0.998
184,1.977
185,2.012
186,1.968
187,6.007
188,2.05
189,1.915
190,2.993
191,2.996
192,4.061
193,0.93
194,2.061
195,0.923
196,0.997
197,0.997
198,2.018
199,1.972
200,3.028
201,4.028
202,0.939
203,0.98
204,2.071
205,0.922
206,0.997
207,1.993
208,2.994
209,3.07
210,1.988
211,0.949
212,2.047
213,0.998
214,0.92
215,1.995
216,1.073
217,0.997
218,1.921
219,2.99
220,3.068
221,0.946
222,2.05
223,0.993
224,1.001
225,0.919
226,0.997
227,2.019
228,1.971
229,3.067
230,0.995
231,1.988
232,1.006
233,0.922
234,2.071
235,0.997
236,0.997
237,0.922
238,2.074
239,1.99
240,1.995
241,1.995
242,1.998
243,0.919
244,2.051
245,1.015
246,0.923
247,0.997
248,0.998
249,3.989
250,1.995
251,0.997
252,0.997
253,1.995
254,1.021
255,1.048
256,0.923
257,0.997
258,1.994
259,0.998
260,1.073
261,1.92
262,1.023
263,1.968
264,2.074
265,2.991
266,0.943
267,2.992
268,0.997
269,1.971
270,0.999
271,2.018
272,0.973
273,1.995
274,1.021
275,1.971
276,2.022
277,0.997
278,1.993
279,0.999
280,1.967
281,0.998
282,1.994
283,1.021
284,1.97
285,2.993
286,2.016
287,0.977
288,1.993
289,1.025
290,1.001
291,1.964
292,1.997
293,1.993
294,0.998
295,2.991
296,1.025
297,1.997
298,0.967
299,1.025
300,0.97
301,2.992
302,2.991
303,3.071
304,1.995
305,2.992
306,0.919
307,0.997
308,3.988
309,0.999
310,1.994
311,1.077
312,2.915
313,3.017
314,0.97
315,0.997
316,1.994
317,0.998
318,2.997
319,1.994
320,2.068
321,0.92
322,2.072
323,0.997
324,0.997
325,0.921
326,2.071
327,2.914
328,2.994
329,0.996
330,1.995
331,1.024
332,1.968
333,1.072
334,0.998
