,Time
0,5.987
1,4.985
2,4.989
3,4.986
4,4.984
5,4.987
6,4.989
7,5.981
8,3.99
9,3.989
10,2.992
11,1.995
12,2.991
13,1.995
14,1.995
15,1.995
16,1.994
17,1.995
18,0.998
19,1.994
20,0.997
21,1.998
22,0.994
23,1.998
24,1.992
25,1.0
26,0.994
27,2.995
28,1.994
29,0.999
30,1.994
31,0.997
32,0.995
33,1.994
34,0.998
35,1.997
36,0.998
37,1.995
38,0.994
39,1.997
40,0.998
41,1.994
42,0.995
43,2.073
44,0.919
45,2.076
46,1.938
47,0.973
48,1.994
49,1.074
50,1.918
51,1.073
52,1.995
53,0.998
54,1.993
55,0.998
56,1.995
57,0.922
58,2.07
59,0.922
60,2.07
61,0.921
62,2.069
63,0.924
64,1.994
65,0.997
66,1.995
67,0.997
68,1.995
69,0.998
70,2.073
71,0.919
72,2.072
73,0.92
74,2.072
75,1.997
76,0.992
77,1.966
78,0.952
79,2.058
80,0.934
81,2.07
82,0.922
83,1.993
84,1.022
85,1.02
86,2.046
87,0.921
88,2.068
89,1.997
90,1.995
91,1.994
92,0.922
93,1.995
94,2.074
95,2.989
96,3.988
97,1.92
98,2.074
99,0.918
100,1.074
101,1.918
102,3.99
103,5.063
104,1.919
105,2.07
106,1.995
107,1.995
108,2.992
109,5.907
110,3.065
111,1.923
112,2.021
113,3.963
114,4.986
115,2.074
116,1.994
117,1.999
118,1.987
119,2.944
120,3.99
121,2.965
122,3.03
123,3.95
124,3.99
125,2.074
126,1.994
127,1.995
128,2.996
129,2.988
130,2.942
131,4.039
132,2.913
133,2.074
134,1.994
135,1.983
136,3.922
137,3.989
138,2.997
139,1.995
140,1.994
141,1.99
142,1.996
143,2.991
144,2.995
145,4.066
146,1.998
147,1.939
148,3.962
149,4.015
150,1.977
151,1.986
152,2.022
153,2.964
154,1.995
155,3.024
156,1.994
157,2.988
158,2.047
159,1.996
160,1.996
161,1.987
162,2.92
163,2.011
164,2.052
165,1.996
166,0.996
167,1.995
168,1.994
169,1.919
170,2.992
171,2.0
172,1.99
173,1.994
174,0.998
175,1.995
176,1.998
177,2.069
178,1.995
179,1.944
180,2.964
181,2.022
182,4.018
183,2.018
184,1.994
185,1.999
186,2.909
187,5.018
188,2.036
189,1.997
190,1.921
191,4.064
192,3.938
193,3.965
194,3.075
195,1.991
196,1.994
197,6.935
198,4.032
199,1.943
200,2.047
201,4.925
202,2.977
203,4.066
204,2.993
205,1.993
206,2.917
207,5.061
208,3.995
209,1.99
210,1.995
211,3.993
212,3.909
213,3.019
214,2.044
215,1.998
216,1.989
217,2.919
218,2.995
219,3.986
220,2.069
221,1.996
222,1.995
223,2.996
224,4.906
225,2.022
226,1.968
227,2.074
228,1.915
229,1.074
230,1.994
231,1.919
232,2.07
233,1.995
234,1.995
235,1.988
236,1.004
237,1.994
238,1.996
239,1.994
240,1.918
241,2.004
242,1.986
243,1.081
244,1.987
245,1.982
246,1.007
247,1.998
248,1.993
249,1.922
250,1.993
251,2.07
252,1.995
253,0.997
254,1.995
255,1.995
256,1.919
257,1.073
258,1.918
259,1.995
260,1.994
261,2.071
262,0.999
263,1.918
264,2.07
265,0.921
266,2.071
267,1.998
268,1.915
269,2.993
270,2.072
271,1.993
272,1.994
273,1.999
274,0.993
275,1.919
276,1.997
277,1.992
278,2.019
279,2.97
280,2.003
281,1.985
282,0.997
283,4.013
284,6.985
285,6.981
286,8.948
287,5.016
288,2.963
289,1.995
290,2.992
291,2.005
292,1.985
293,1.994
294,1.995
295,1.994
296,0.997
297,2.996
298,2.994
299,1.994
300,2.993
301,2.063
302,1.995
303,3.002
304,2.991
305,3.987
306,3.988
307,1.995
308,1.996
309,3.912
310,3.066
311,1.921
312,1.994
313,2.075
314,1.988
315,1.998
316,1.994
317,1.958
318,1.033
319,1.995
320,1.999
321,1.991
322,1.994
323,1.974
324,1.018
325,1.995
326,1.998
327,1.988
328,1.002
329,1.993
330,0.922
331,2.075
332,2.001
333,0.987
334,1.995
335,1.994
336,0.936
337,2.055
338,1.92
339,3.016
340,11.972
341,2.992
342,2.965
343,5.984
344,4.016
345,6.954
346,7.009
347,7.978
348,4.959
349,7.009
350,10.943
351,2.992
352,6.011
353,2.965
354,1.996
355,4.986
356,3.989
357,2.993
358,3.018
359,1.995
360,1.994
361,2.001
362,3.983
363,3.963
364,3.011
365,2.973
366,4.016
367,2.979
368,5.0
369,2.995
370,1.991
371,3.963
372,2.022
373,2.993
374,2.983
375,1.975
376,2.022
377,0.999
378,2.964
379,2.024
380,1.991
381,1.998
382,2.989
383,3.989
384,2.979
385,2.011
386,2.024
387,1.981
388,2.977
389,2.022
390,2.964
391,2.022
392,1.995
393,0.997
394,1.995
395,1.968
396,1.994
397,2.022
398,1.995
399,0.97
400,2.022
401,1.994
402,1.967
403,1.995
404,1.996
405,2.021
406,0.998
407,2.965
408,1.995
409,3.017
410,3.993
411,1.965
412,2.991
413,2.023
414,1.966
415,2.024
416,2.993
417,3.961
418,1.994
419,1.996
420,2.992
421,4.986
422,5.983
423,2.992
424,3.02
425,3.97
426,6.972
427,1.995
428,6.981
429,7.009
430,1.968
431,1.993
432,0.998
433,2.992
434,4.017
435,4.959
436,2.023
437,1.967
438,1.995
439,3.988
440,1.996
441,1.993
442,1.996
443,2.025
444,2.004
445,1.966
446,0.986
447,13.962
448,1.995
449,2.074
450,1.916
451,1.075
452,1.997
453,1.995
454,1.997
455,1.935
456,1.051
457,1.994
458,1.994
459,1.995
460,0.982
461,1.934
462,2.07
463,1.995
464,1.967
465,1.025
466,1.999
467,1.915
468,2.069
469,1.999
470,1.97
471,1.941
472,2.071
473,1.919
474,1.994
475,2.032
476,2.981
